
            r               1s              2s
        0.3371508   0.1182718E+01   0.1666723E+00
        0.3475670   0.1184679E+01   0.1656859E+00
        0.3583504   0.1185670E+01   0.1644514E+00
        0.3695146   0.1185648E+01   0.1629555E+00
        0.3810731   0.1184574E+01   0.1611846E+00
        0.3930404   0.1182407E+01   0.1591252E+00
        0.4054311   0.1179113E+01   0.1567636E+00
        0.4182601   0.1174655E+01   0.1540859E+00
        0.4315430   0.1169003E+01   0.1510787E+00
        0.4452957   0.1162128E+01   0.1477282E+00
        0.4595344   0.1154007E+01   0.1440211E+00
        0.4742760   0.1144618E+01   0.1399441E+00
        0.4895376   0.1133945E+01   0.1354846E+00
        0.5053368   0.1121977E+01   0.1306301E+00
        0.5216916   0.1108708E+01   0.1253687E+00
        0.5386205   0.1094138E+01   0.1196890E+00
        0.5561424   0.1078272E+01   0.1135805E+00
        0.5742766   0.1061123E+01   0.1070332E+00
        0.5930427   0.1042708E+01   0.1000382E+00
        0.6124609   0.1023054E+01   0.9258761E-01
        0.6325518   0.1002192E+01   0.8467444E-01
        0.6533363   0.9801615E+00   0.7629302E-01
        0.6748357   0.9570091E+00   0.6743895E-01
        0.6970717   0.9327886E+00   0.5810926E-01
        0.7200664   0.9075603E+00   0.4830247E-01
        0.7438422   0.8813920E+00   0.3801873E-01
        0.7684219   0.8543578E+00   0.2725994E-01
        0.7938287   0.8265382E+00   0.1602978E-01
        0.8200858   0.7980197E+00   0.4333906E-02
        0.8472171   0.7688940E+00  -0.7820037E-02
        0.8752466   0.7392579E+00  -0.2042228E-01
        0.9041984   0.7092122E+00  -0.3346084E-01
        0.9340971   0.6788612E+00  -0.4692149E-01
        0.9649674   0.6483117E+00  -0.6078763E-01
        0.9968341   0.6176725E+00  -0.7504026E-01
        1.0297223   0.5870530E+00  -0.8965791E-01
        1.0636571   0.5565626E+00  -0.1046167E+00
        1.0986639   0.5263097E+00  -0.1198900E+00
        1.1347679   0.4964004E+00  -0.1354489E+00
        1.1719945   0.4669379E+00  -0.1512620E+00
        1.2103692   0.4380211E+00  -0.1672950E+00
        1.2499173   0.4097442E+00  -0.1835117E+00
        1.2906641   0.3821953E+00  -0.1998730E+00
        1.3326348   0.3554559E+00  -0.2163379E+00
        1.3758545   0.3296000E+00  -0.2328630E+00
        1.4203481   0.3046936E+00  -0.2494028E+00
        1.4661403   0.2807940E+00  -0.2659102E+00
        1.5132556   0.2579497E+00  -0.2823361E+00
        1.5617181   0.2361997E+00  -0.2986300E+00
        1.6115518   0.2155738E+00  -0.3147403E+00
        1.6627801   0.1960921E+00  -0.3306141E+00
        1.7154260   0.1777658E+00  -0.3461980E+00
        1.7695124   0.1605968E+00  -0.3614383E+00
        1.8250613   0.1445784E+00  -0.3762811E+00
        1.8820945   0.1296958E+00  -0.3906727E+00
        1.9406332   0.1159266E+00  -0.4045601E+00
        2.0006978   0.1032415E+00  -0.4178914E+00
        2.0623083   0.9160536E-01  -0.4306160E+00
        2.1254840   0.8097734E-01  -0.4426850E+00
        2.1902437   0.7131233E-01  -0.4540518E+00
        2.2566051   0.6256153E-01  -0.4646720E+00
        2.3245855   0.5467340E-01  -0.4745045E+00
        2.3942013   0.4759442E-01  -0.4835110E+00
        2.4654682   0.4126991E-01  -0.4916569E+00
        2.5384010   0.3564479E-01  -0.4989114E+00
        2.6130137   0.3066423E-01  -0.5052480E+00
        2.6893195   0.2627432E-01  -0.5106443E+00
        2.7673307   0.2242256E-01  -0.5150826E+00
        2.8470587   0.1905836E-01  -0.5185498E+00
        2.9285140   0.1613340E-01  -0.5210376E+00
        3.0117065   0.1360197E-01  -0.5225429E+00
        3.0966446   0.1142112E-01  -0.5230673E+00
        3.1833364   0.9550929E-02  -0.5226174E+00
        3.2717888   0.7954477E-02  -0.5212047E+00
        3.3620077   0.6597940E-02  -0.5188455E+00
        3.4539983   0.5450538E-02  -0.5155607E+00
        3.5477649   0.4484461E-02  -0.5113758E+00
        3.6433107   0.3674763E-02  -0.5063203E+00
        3.7406381   0.2999216E-02  -0.5004277E+00
        3.8397488   0.2438147E-02  -0.4937354E+00
        3.9406434   0.1974258E-02  -0.4862838E+00
        4.0433217   0.1592439E-02  -0.4781166E+00
        4.1477828   0.1279572E-02  -0.4692799E+00
        4.2540248   0.1024341E-02  -0.4598221E+00
        4.3620451   0.8170428E-03  -0.4497935E+00
        4.4718403   0.6494078E-03  -0.4392458E+00
        4.5834063   0.5144299E-03  -0.4282316E+00
        4.6967382   0.4062080E-03  -0.4168044E+00
        4.8118303   0.3198001E-03  -0.4050176E+00
        4.9286763   0.2510914E-03  -0.3929247E+00
        5.0472694   0.1966743E-03  -0.3805786E+00
        5.1676017   0.1537431E-03  -0.3680314E+00
        5.2896653   0.1199995E-03  -0.3553339E+00
        5.4134511   0.9357178E-04  -0.3425357E+00
        5.5389498   0.7294295E-04  -0.3296843E+00
        5.6661516   0.5689036E-04  -0.3168254E+00
        5.7950459   0.4443348E-04  -0.3040025E+00
        5.9256219   0.3479001E-04  -0.2912567E+00
        6.0578681   0.2733887E-04  -0.2786265E+00
        6.1917728   0.2158941E-04  -0.2661479E+00
        6.3273237   0.1715590E-04  -0.2538540E+00
        6.4645083   0.1373652E-04  -0.2417752E+00
        6.6033135   0.1109618E-04  -0.2299389E+00
        6.7437262   0.9052635E-05  -0.2183699E+00
        6.8857326   0.7465182E-05  -0.2070899E+00
        7.0293190   0.6225678E-05  -0.1961181E+00
        7.1744712   0.5251336E-05  -0.1854707E+00
        7.3211747   0.4479019E-05  -0.1751614E+00
        7.4694151   0.3860754E-05  -0.1652014E+00
        7.6191776   0.3360203E-05  -0.1555992E+00
        7.7704471   0.2949920E-05  -0.1463613E+00
        7.9232086   0.2609225E-05  -0.1374918E+00
        8.0774469   0.2322558E-05  -0.1289928E+00
        8.2331465   0.2078221E-05  -0.1208646E+00
        8.3902921   0.1867419E-05  -0.1131056E+00
        8.5488680   0.1683525E-05  -0.1057126E+00
        8.7088588   0.1521534E-05  -0.9868106E-01
        8.8702487   0.1377642E-05  -0.9200508E-01
        9.0330221   0.1248939E-05  -0.8567756E-01
        9.1971633   0.1133178E-05  -0.7969043E-01
        9.3626565   0.1028600E-05  -0.7403472E-01
        9.5294861   0.9338089E-06  -0.6870071E-01
        9.6976365   0.8476796E-06  -0.6367807E-01
        9.8670919   0.7692869E-06  -0.5895597E-01
       10.0378367   0.6978571E-06  -0.5452317E-01
       10.2098555   0.6327312E-06  -0.5036815E-01
       10.3831327   0.5733383E-06  -0.4647922E-01
       10.5576530   0.5191766E-06  -0.4284454E-01
       10.7334009   0.4697991E-06  -0.3945229E-01
       10.9103613   0.4248038E-06  -0.3629067E-01
       11.0885190   0.3838258E-06  -0.3334799E-01
       11.2678589   0.3465319E-06  -0.3061274E-01
       11.4483661   0.3126165E-06  -0.2807362E-01
       11.6300257   0.2817984E-06  -0.2571960E-01
       11.8128232   0.2538184E-06  -0.2353994E-01
       11.9967438   0.2284370E-06  -0.2152421E-01
       12.1817732   0.2054332E-06  -0.1966236E-01
       12.3678969   0.1846026E-06  -0.1794470E-01
       12.5551009   0.1657568E-06  -0.1636192E-01
       12.7433711   0.1487217E-06  -0.1490511E-01
       12.9326936   0.1333369E-06  -0.1356577E-01
       13.1230546   0.1194547E-06  -0.1233580E-01
       13.3144406   0.1069392E-06  -0.1120751E-01
       13.5068380   0.9566555E-07  -0.1017360E-01
       13.7002336   0.8551903E-07  -0.9227193E-02
       13.8946143   0.7639461E-07  -0.8361774E-02
       14.0899669   0.6819609E-07  -0.7571227E-02
       14.2862788   0.6083549E-07  -0.6849803E-02
       14.4835373   0.5423246E-07  -0.6192110E-02
       14.6817297   0.4831371E-07  -0.5593103E-02
       14.8808438   0.4301244E-07  -0.5048067E-02
       15.0808674   0.3826786E-07  -0.4552609E-02
       15.2817883   0.3402473E-07  -0.4102636E-02
       15.4835948   0.3023287E-07  -0.3694346E-02
       15.6862751   0.2684675E-07  -0.3324210E-02
       15.8898176   0.2382515E-07  -0.2988960E-02
       16.0942110   0.2113074E-07  -0.2685572E-02
       16.2994439   0.1872977E-07  -0.2411254E-02
       16.5055053   0.1659176E-07  -0.2163428E-02
       16.7123842   0.1468920E-07  -0.1939723E-02
       16.9200698   0.1299729E-07  -0.1737955E-02
       17.1285516   0.1149371E-07  -0.1556120E-02
       17.3378190   0.1015835E-07  -0.1392378E-02
       17.5478616   0.8973161E-08  -0.1245044E-02
       17.7586694   0.7921909E-08  -0.1112576E-02
       17.9702323   0.6990041E-08  -0.9935641E-03
       18.1825403   0.6164505E-08  -0.8867207E-03
       18.3955838   0.5433608E-08  -0.7908721E-03
       18.6093532   0.4786886E-08  -0.7049490E-03
       18.8238389   0.4214980E-08  -0.6279785E-03
       19.0390318   0.3709527E-08  -0.5590761E-03
       19.2549225   0.3263060E-08  -0.4974388E-03
       19.4715021   0.2868916E-08  -0.4423380E-03
