        Distance           1s              1s              2s              2s
      0.611203E-03    0.343095E-02    0.343055E-02    0.531935E-03    0.531764E-03
      0.636145E-03    0.357086E-02    0.357044E-02    0.553627E-03    0.553449E-03
      0.662104E-03    0.371647E-02    0.371604E-02    0.576202E-03    0.576017E-03
      0.689123E-03    0.386801E-02    0.386756E-02    0.599698E-03    0.599505E-03
      0.717243E-03    0.402572E-02    0.402526E-02    0.624150E-03    0.623950E-03
      0.746512E-03    0.418987E-02    0.418939E-02    0.649599E-03    0.649390E-03
      0.776974E-03    0.436069E-02    0.436020E-02    0.676084E-03    0.675867E-03
      0.808680E-03    0.453848E-02    0.453796E-02    0.703648E-03    0.703423E-03
      0.841679E-03    0.472351E-02    0.472297E-02    0.732334E-03    0.732100E-03
      0.876025E-03    0.491607E-02    0.491551E-02    0.762189E-03    0.761946E-03
      0.911772E-03    0.511647E-02    0.511589E-02    0.793259E-03    0.793007E-03
      0.948977E-03    0.532503E-02    0.532443E-02    0.825595E-03    0.825333E-03
      0.987700E-03    0.554208E-02    0.554146E-02    0.859247E-03    0.858975E-03
      0.102800E-02    0.576797E-02    0.576732E-02    0.894269E-03    0.893986E-03
      0.106995E-02    0.600306E-02    0.600238E-02    0.930717E-03    0.930423E-03
      0.111361E-02    0.624771E-02    0.624701E-02    0.968648E-03    0.968342E-03
      0.115905E-02    0.650232E-02    0.650159E-02    0.100812E-02    0.100781E-02
      0.120634E-02    0.676729E-02    0.676653E-02    0.104920E-02    0.104887E-02
      0.125557E-02    0.704304E-02    0.704226E-02    0.109196E-02    0.109161E-02
      0.130680E-02    0.733001E-02    0.732919E-02    0.113645E-02    0.113609E-02
      0.136012E-02    0.762865E-02    0.762780E-02    0.118275E-02    0.118238E-02
      0.141562E-02    0.793944E-02    0.793856E-02    0.123093E-02    0.123055E-02
      0.147338E-02    0.826286E-02    0.826195E-02    0.128108E-02    0.128068E-02
      0.153350E-02    0.859944E-02    0.859849E-02    0.133326E-02    0.133285E-02
      0.159607E-02    0.894969E-02    0.894871E-02    0.138756E-02    0.138714E-02
      0.166119E-02    0.931419E-02    0.931317E-02    0.144408E-02    0.144363E-02
      0.172897E-02    0.969350E-02    0.969244E-02    0.150288E-02    0.150242E-02
      0.179951E-02    0.100882E-01    0.100871E-01    0.156408E-02    0.156360E-02
      0.187293E-02    0.104990E-01    0.104978E-01    0.162777E-02    0.162727E-02
      0.194935E-02    0.109264E-01    0.109252E-01    0.169404E-02    0.169352E-02
      0.202888E-02    0.113712E-01    0.113700E-01    0.176300E-02    0.176246E-02
      0.211166E-02    0.118341E-01    0.118328E-01    0.183476E-02    0.183421E-02
      0.219781E-02    0.123157E-01    0.123144E-01    0.190943E-02    0.190886E-02
      0.228748E-02    0.128169E-01    0.128156E-01    0.198714E-02    0.198655E-02
      0.238081E-02    0.133384E-01    0.133370E-01    0.206800E-02    0.206738E-02
      0.247794E-02    0.138811E-01    0.138797E-01    0.215214E-02    0.215150E-02
      0.257903E-02    0.144458E-01    0.144443E-01    0.223969E-02    0.223903E-02
      0.268424E-02    0.150334E-01    0.150319E-01    0.233079E-02    0.233010E-02
      0.279375E-02    0.156448E-01    0.156432E-01    0.242558E-02    0.242487E-02
      0.290772E-02    0.162810E-01    0.162794E-01    0.252422E-02    0.252348E-02
      0.302634E-02    0.169430E-01    0.169413E-01    0.262685E-02    0.262609E-02
      0.314979E-02    0.176318E-01    0.176300E-01    0.273363E-02    0.273285E-02
      0.327828E-02    0.183484E-01    0.183466E-01    0.284475E-02    0.284393E-02
      0.341201E-02    0.190941E-01    0.190922E-01    0.296035E-02    0.295951E-02
      0.355119E-02    0.198699E-01    0.198680E-01    0.308064E-02    0.307977E-02
      0.369605E-02    0.206771E-01    0.206751E-01    0.320579E-02    0.320489E-02
      0.384681E-02    0.215170E-01    0.215149E-01    0.333600E-02    0.333507E-02
      0.400372E-02    0.223908E-01    0.223886E-01    0.347147E-02    0.347051E-02
      0.416702E-02    0.232999E-01    0.232976E-01    0.361242E-02    0.361143E-02
      0.433699E-02    0.242457E-01    0.242434E-01    0.375906E-02    0.375803E-02
      0.451387E-02    0.252297E-01    0.252273E-01    0.391161E-02    0.391056E-02
      0.469797E-02    0.262534E-01    0.262509E-01    0.407033E-02    0.406923E-02
      0.488958E-02    0.273183E-01    0.273158E-01    0.423544E-02    0.423431E-02
      0.508899E-02    0.284262E-01    0.284236E-01    0.440721E-02    0.440605E-02
      0.529653E-02    0.295788E-01    0.295761E-01    0.458590E-02    0.458470E-02
      0.551253E-02    0.307777E-01    0.307750E-01    0.477178E-02    0.477055E-02
      0.573733E-02    0.320249E-01    0.320221E-01    0.496515E-02    0.496388E-02
      0.597129E-02    0.333223E-01    0.333194E-01    0.516629E-02    0.516498E-02
      0.621478E-02    0.346718E-01    0.346688E-01    0.537552E-02    0.537417E-02
      0.646819E-02    0.360756E-01    0.360724E-01    0.559315E-02    0.559177E-02
      0.673193E-02    0.375357E-01    0.375325E-01    0.581952E-02    0.581810E-02
      0.700641E-02    0.390543E-01    0.390510E-01    0.605498E-02    0.605352E-02
      0.729207E-02    0.406339E-01    0.406305E-01    0.629987E-02    0.629837E-02
      0.758936E-02    0.422767E-01    0.422733E-01    0.655458E-02    0.655304E-02
      0.789877E-02    0.439854E-01    0.439818E-01    0.681948E-02    0.681790E-02
      0.822077E-02    0.457623E-01    0.457587E-01    0.709498E-02    0.709336E-02
      0.855588E-02    0.476103E-01    0.476066E-01    0.738149E-02    0.737983E-02
      0.890464E-02    0.495321E-01    0.495283E-01    0.767944E-02    0.767774E-02
      0.926760E-02    0.515306E-01    0.515267E-01    0.798928E-02    0.798755E-02
      0.964534E-02    0.536088E-01    0.536048E-01    0.831147E-02    0.830970E-02
      0.100384E-01    0.557697E-01    0.557656E-01    0.864649E-02    0.864468E-02
      0.104476E-01    0.580165E-01    0.580124E-01    0.899484E-02    0.899300E-02
      0.108733E-01    0.603527E-01    0.603485E-01    0.935704E-02    0.935516E-02
      0.113164E-01    0.627817E-01    0.627773E-01    0.973361E-02    0.973169E-02
      0.117775E-01    0.653069E-01    0.653025E-01    0.101251E-01    0.101232E-01
      0.122574E-01    0.679322E-01    0.679277E-01    0.105321E-01    0.105301E-01
      0.127568E-01    0.706613E-01    0.706567E-01    0.109552E-01    0.109532E-01
      0.132765E-01    0.734983E-01    0.734936E-01    0.113951E-01    0.113930E-01
      0.138173E-01    0.764472E-01    0.764425E-01    0.118523E-01    0.118502E-01
      0.143801E-01    0.795123E-01    0.795075E-01    0.123274E-01    0.123254E-01
      0.149658E-01    0.826980E-01    0.826931E-01    0.128213E-01    0.128192E-01
      0.155753E-01    0.860089E-01    0.860039E-01    0.133346E-01    0.133325E-01
      0.162096E-01    0.894496E-01    0.894446E-01    0.138681E-01    0.138659E-01
      0.168696E-01    0.930251E-01    0.930200E-01    0.144224E-01    0.144202E-01
      0.175565E-01    0.967404E-01    0.967353E-01    0.149984E-01    0.149962E-01
      0.182713E-01    0.100601E+00    0.100595E+00    0.155968E-01    0.155947E-01
      0.190150E-01    0.104611E+00    0.104606E+00    0.162186E-01    0.162164E-01
      0.197890E-01    0.108778E+00    0.108773E+00    0.168645E-01    0.168624E-01
      0.205944E-01    0.113106E+00    0.113101E+00    0.175355E-01    0.175334E-01
      0.214325E-01    0.117602E+00    0.117597E+00    0.182325E-01    0.182304E-01
      0.223046E-01    0.122272E+00    0.122266E+00    0.189564E-01    0.189544E-01
      0.232121E-01    0.127121E+00    0.127116E+00    0.197082E-01    0.197062E-01
      0.241564E-01    0.132157E+00    0.132152E+00    0.204890E-01    0.204870E-01
      0.251389E-01    0.137387E+00    0.137381E+00    0.212996E-01    0.212977E-01
      0.261613E-01    0.142816E+00    0.142811E+00    0.221413E-01    0.221394E-01
      0.272251E-01    0.148453E+00    0.148448E+00    0.230151E-01    0.230133E-01
      0.283320E-01    0.154304E+00    0.154299E+00    0.239221E-01    0.239204E-01
      0.294838E-01    0.160377E+00    0.160372E+00    0.248636E-01    0.248619E-01
      0.306822E-01    0.166680E+00    0.166676E+00    0.258407E-01    0.258391E-01
      0.319290E-01    0.173221E+00    0.173217E+00    0.268546E-01    0.268531E-01
      0.332264E-01    0.180008E+00    0.180003E+00    0.279066E-01    0.279052E-01
      0.345762E-01    0.187049E+00    0.187045E+00    0.289981E-01    0.289968E-01
      0.359805E-01    0.194353E+00    0.194349E+00    0.301302E-01    0.301291E-01
      0.374417E-01    0.201929E+00    0.201925E+00    0.313045E-01    0.313035E-01
      0.389618E-01    0.209785E+00    0.209781E+00    0.325222E-01    0.325214E-01
      0.405434E-01    0.217932E+00    0.217928E+00    0.337849E-01    0.337842E-01
      0.421887E-01    0.226377E+00    0.226374E+00    0.350940E-01    0.350934E-01
      0.439005E-01    0.235132E+00    0.235130E+00    0.364509E-01    0.364506E-01
      0.456813E-01    0.244206E+00    0.244204E+00    0.378573E-01    0.378571E-01
      0.475339E-01    0.253609E+00    0.253607E+00    0.393146E-01    0.393146E-01
      0.494612E-01    0.263351E+00    0.263350E+00    0.408244E-01    0.408246E-01
      0.514660E-01    0.273443E+00    0.273442E+00    0.423884E-01    0.423888E-01
      0.535516E-01    0.283895E+00    0.283895E+00    0.440082E-01    0.440088E-01
      0.557210E-01    0.294719E+00    0.294719E+00    0.456855E-01    0.456862E-01
      0.579776E-01    0.305924E+00    0.305925E+00    0.474220E-01    0.474228E-01
      0.603249E-01    0.317523E+00    0.317525E+00    0.492193E-01    0.492203E-01
      0.627665E-01    0.329527E+00    0.329529E+00    0.510792E-01    0.510804E-01
      0.653060E-01    0.341946E+00    0.341949E+00    0.530036E-01    0.530048E-01
      0.679474E-01    0.354793E+00    0.354796E+00    0.549940E-01    0.549953E-01
      0.706946E-01    0.368079E+00    0.368083E+00    0.570524E-01    0.570538E-01
      0.735517E-01    0.381815E+00    0.381820E+00    0.591806E-01    0.591819E-01
      0.765233E-01    0.396014E+00    0.396019E+00    0.613802E-01    0.613816E-01
      0.796136E-01    0.410688E+00    0.410693E+00    0.636533E-01    0.636545E-01
      0.828273E-01    0.425847E+00    0.425853E+00    0.660015E-01    0.660025E-01
      0.861693E-01    0.441505E+00    0.441510E+00    0.684266E-01    0.684275E-01
      0.896446E-01    0.457672E+00    0.457677E+00    0.709306E-01    0.709312E-01
      0.932583E-01    0.474361E+00    0.474366E+00    0.735152E-01    0.735154E-01
      0.970158E-01    0.491583E+00    0.491587E+00    0.761821E-01    0.761819E-01
      0.100923E+00    0.509349E+00    0.509352E+00    0.789332E-01    0.789325E-01
      0.104985E+00    0.527672E+00    0.527674E+00    0.817701E-01    0.817690E-01
      0.109208E+00    0.546562E+00    0.546562E+00    0.846946E-01    0.846930E-01
      0.113599E+00    0.566030E+00    0.566028E+00    0.877084E-01    0.877063E-01
      0.118163E+00    0.586088E+00    0.586083E+00    0.908131E-01    0.908105E-01
      0.122908E+00    0.606745E+00    0.606738E+00    0.940102E-01    0.940075E-01
      0.127840E+00    0.628012E+00    0.628002E+00    0.973014E-01    0.972986E-01
      0.132967E+00    0.649898E+00    0.649887E+00    0.100688E+00    0.100686E+00
      0.138295E+00    0.672414E+00    0.672401E+00    0.104172E+00    0.104170E+00
      0.143834E+00    0.695568E+00    0.695554E+00    0.107753E+00    0.107754E+00
      0.149589E+00    0.719368E+00    0.719355E+00    0.111435E+00    0.111438E+00
      0.155570E+00    0.743823E+00    0.743813E+00    0.115217E+00    0.115224E+00
      0.161786E+00    0.768939E+00    0.768936E+00    0.119100E+00    0.119113E+00
      0.168244E+00    0.794725E+00    0.794734E+00    0.123087E+00    0.123108E+00
      0.174954E+00    0.821185E+00    0.821212E+00    0.127177E+00    0.127210E+00
      0.181926E+00    0.848325E+00    0.848380E+00    0.131371E+00    0.131419E+00
      0.189168E+00    0.876149E+00    0.876244E+00    0.135670E+00    0.135738E+00
      0.196692E+00    0.904662E+00    0.904812E+00    0.140075E+00    0.140119E+00
      0.204507E+00    0.933866E+00    0.934091E+00    0.144585E+00    0.144617E+00
      0.212624E+00    0.963764E+00    0.964088E+00    0.149202E+00    0.149223E+00
      0.221053E+00    0.994356E+00    0.994840E+00    0.153924E+00    0.153936E+00
      0.229807E+00    0.102564E+01    0.102600E+01    0.158752E+00    0.158757E+00
      0.238898E+00    0.105762E+01    0.105787E+01    0.163686E+00    0.163686E+00
      0.248336E+00    0.109029E+01    0.109045E+01    0.168724E+00    0.168721E+00
      0.258134E+00    0.112365E+01    0.112373E+01    0.173867E+00    0.173863E+00
      0.268307E+00    0.115769E+01    0.115771E+01    0.179114E+00    0.179110E+00
      0.278865E+00    0.119240E+01    0.119239E+01    0.184462E+00    0.184461E+00
      0.289824E+00    0.122779E+01    0.122775E+01    0.189912E+00    0.189913E+00
      0.301197E+00    0.126384E+01    0.126380E+01    0.195461E+00    0.195464E+00
      0.312998E+00    0.130053E+01    0.130051E+01    0.201107E+00    0.201112E+00
      0.325242E+00    0.133787E+01    0.133787E+01    0.206849E+00    0.206853E+00
      0.337945E+00    0.137583E+01    0.137586E+01    0.212685E+00    0.212682E+00
      0.351122E+00    0.141440E+01    0.141445E+01    0.218610E+00    0.218594E+00
      0.364789E+00    0.145357E+01    0.145362E+01    0.224624E+00    0.224583E+00
      0.378963E+00    0.149331E+01    0.149333E+01    0.230722E+00    0.230640E+00
      0.393659E+00    0.153361E+01    0.153354E+01    0.236901E+00    0.236932E+00
      0.408897E+00    0.157445E+01    0.157419E+01    0.243158E+00    0.243171E+00
      0.424693E+00    0.161579E+01    0.161522E+01    0.249488E+00    0.249490E+00
      0.441065E+00    0.165763E+01    0.165802E+01    0.255887E+00    0.255885E+00
      0.458032E+00    0.169992E+01    0.170012E+01    0.262351E+00    0.262349E+00
      0.475613E+00    0.174264E+01    0.174271E+01    0.268874E+00    0.268875E+00
      0.493827E+00    0.178576E+01    0.178575E+01    0.275451E+00    0.275456E+00
      0.512695E+00    0.182925E+01    0.182922E+01    0.282076E+00    0.282080E+00
      0.532236E+00    0.187306E+01    0.187305E+01    0.288743E+00    0.288738E+00
      0.552470E+00    0.191718E+01    0.191720E+01    0.295446E+00    0.295414E+00
      0.573420E+00    0.196154E+01    0.196159E+01    0.302177E+00    0.302216E+00
      0.595105E+00    0.200612E+01    0.200615E+01    0.308930E+00    0.308945E+00
      0.617549E+00    0.205086E+01    0.205078E+01    0.315698E+00    0.315699E+00
