 
  EnergyXF(  1s(m=  0))=  -12.4951489387        12.5048517276       -25.0000006663 Int_Ort=         1.00000
    Energy(L= 78,ML= 0)=  -12.4538238491        12.4526622260       -24.9064860751 Int_Ort= 0.9999689795184
    Energy(L= 79,ML= 0)=  -12.4553972355        12.4544255521       -24.9098227876 Int_Ort= 0.9999708592819
    Energy(L= 80,ML= 0)=  -12.4568979368        12.4561056712       -24.9130036079 Int_Ort= 0.9999726055651
    Energy(L= 81,ML= 0)=  -12.4583300758        12.4577074050       -24.9160374807 Int_Ort= 0.9999742292704
    Energy(L= 82,ML= 0)=  -12.4596974797        12.4592352451       -24.9189327248 Int_Ort= 0.9999757402959
    Energy(L= 83,ML= 0)=  -12.4610037717        12.4606933792       -24.9216971509 Int_Ort= 0.9999771476380
    Energy(L= 84,ML= 0)=  -12.4622523040        12.4620857134       -24.9243380174 Int_Ort= 0.9999784594822
    Energy(L= 85,ML= 0)=  -12.4634462213        12.4634158947       -24.9268621160 Int_Ort= 0.9999796832841
    Energy(L= 86,ML= 0)=  -12.4645884497        12.4646873315       -24.9292757811 Int_Ort= 0.9999808258432
    Energy(L= 87,ML= 0)=  -12.4656817441        12.4659032128       -24.9315849569 Int_Ort= 0.9999818933676
    Energy(L= 88,ML= 0)=  -12.4667287768        12.4670665245       -24.9337953014 Int_Ort= 0.9999828915314
    Energy(L= 89,ML= 0)=  -12.4677318265        12.4681800632       -24.9359118897 Int_Ort= 0.9999838255246
    Energy(L= 90,ML= 0)=  -12.4686934340        12.4692464493       -24.9379398834 Int_Ort= 0.9999847000988
    Energy(L= 91,ML= 0)=  -12.4696147851        12.4702681392       -24.9398829243 Int_Ort= 0.9999855196076
    Energy(L= 92,ML= 0)=  -12.4704990474        12.4712474368       -24.9417464842 Int_Ort= 0.9999862880432
    Energy(L= 93,ML= 0)=  -12.4713478702        12.4721865051       -24.9435343754 Int_Ort= 0.9999870090712
    Energy(L= 94,ML= 0)=  -12.4721627861        12.4730873774       -24.9452501635 Int_Ort= 0.9999876860600
    Energy(L= 95,ML= 0)=  -12.4729446908        12.4739519664       -24.9468966572 Int_Ort= 0.9999883221094
    Energy(L= 96,ML= 0)=  -12.4736974704        12.4747820730       -24.9484795433 Int_Ort= 0.9999889200732
    Energy(L= 97,ML= 0)=  -12.4744218334        12.4755793933       -24.9500012267 Int_Ort= 0.9999894825817
    Energy(L= 98,ML= 0)=  -12.4751155938        12.4763455251       -24.9514611189 Int_Ort= 0.9999900120603
    Energy(L= 99,ML= 0)=  -12.4757820795        12.4770819737       -24.9528640532 Int_Ort= 0.9999905107464
    Energy(L=100,ML= 0)=  -12.4764259026        12.4777901577       -24.9542160603 Int_Ort= 0.9999909807062
 
  EnergyXF(  2p(m=  0))=   -3.1249894366         3.1250108273        -6.2500002639 Int_Ort=         1.00000
    Energy(L=  0,ML= 0)=   -1.1435462818         1.2576105443        -2.4011568261 Int_Ort= 0.1740704898467
    Energy(L=  1,ML= 0)=   -1.7315284353         1.7958947338        -3.5274231691 Int_Ort= 0.4244880343068
    Energy(L=  2,ML= 0)=   -2.1260149180         2.1617502649        -4.2877651829 Int_Ort= 0.6189509640412
    Energy(L=  3,ML= 0)=   -2.3904737875         2.3920015920        -4.7824753796 Int_Ort= 0.7620922663784
    Energy(L=  4,ML= 0)=   -2.5860269317         2.5615186325        -5.1475455642 Int_Ort= 0.8609207181407
    Energy(L=  5,ML= 0)=   -2.7367721834         2.7016566624        -5.4384288458 Int_Ort= 0.9227010044893
    Energy(L=  6,ML= 0)=   -2.8505972587         2.8161455172        -5.6667427759 Int_Ort= 0.9582201785018
    Energy(L=  7,ML= 0)=   -2.9333656845         2.9046446582        -5.8380103426 Int_Ort= 0.9775880200432
    Energy(L=  8,ML= 0)=   -2.9916753354         2.9696739675        -5.9613493029 Int_Ort= 0.9878853849873
    Energy(L=  9,ML= 0)=   -3.0319488208         3.0158352640        -6.0477840848 Int_Ort= 0.9933346510441
    Energy(L= 10,ML= 0)=   -3.0595249051         3.0479806171        -6.1075055222 Int_Ort= 0.9962451572603
    Energy(L= 11,ML= 0)=   -3.0784044910         3.0702010130        -6.1486055040 Int_Ort= 0.9978278784765
    Energy(L= 12,ML= 0)=   -3.0914050098         3.0855736875        -6.1769786973 Int_Ort= 0.9987085123825
    Energy(L= 13,ML= 0)=   -3.1004428017         3.0962750825        -6.1967178842 Int_Ort= 0.9992110525397
    Energy(L= 14,ML= 0)=   -3.1067995595         3.1037956279        -6.2105951873 Int_Ort= 0.9995053789674
    Energy(L= 15,ML= 0)=   -3.1113279758         3.1091409675        -6.2204689432 Int_Ort= 0.9996822333705
    Energy(L= 16,ML= 0)=   -3.1145964780         3.1129868927        -6.2275833706 Int_Ort= 0.9997911541463
    Energy(L= 17,ML= 0)=   -3.1169864926         3.1157887057        -6.2327751984 Int_Ort= 0.9998598218919
    Energy(L= 18,ML= 0)=   -3.1187563589         3.1178552002        -6.2366115591 Int_Ort= 0.9999040724252
    Energy(L= 19,ML= 0)=   -3.1200829568         3.1193977121        -6.2394806689 Int_Ort= 0.9999331776050
    Energy(L= 20,ML= 0)=   -3.1210888088         3.1205623915        -6.2416512004 Int_Ort= 0.9999526888497
    Energy(L= 21,ML= 0)=   -3.1218597987         3.1214514350        -6.2433112336 Int_Ort= 0.9999660016516
    Energy(L= 22,ML= 0)=   -3.1224568431         3.1221371169        -6.2445939599 Int_Ort= 0.9999752352067
    Energy(L= 23,ML= 0)=   -3.1229236529         3.1226711272        -6.2455947800 Int_Ort= 0.9999817375450
    Energy(L= 24,ML= 0)=   -3.1232919452         3.1230908430        -6.2463827883 Int_Ort= 0.9999863816146
    Energy(L= 25,ML= 0)=   -3.1235849831         3.1234235809        -6.2470085640 Int_Ort= 0.9999897422687
    Energy(L= 26,ML= 0)=   -3.1238200046         3.1236895097        -6.2475095143 Int_Ort= 0.9999922040488
    Energy(L= 27,ML= 0)=   -3.1240099087         3.1239036679        -6.2479135766 Int_Ort= 0.9999940280057
    Energy(L= 28,ML= 0)=   -3.1241644374         3.1240773738        -6.2482418112 Int_Ort= 0.9999953938171
    Energy(L= 29,ML= 0)=   -3.1242910136         3.1242192213        -6.2485102349 Int_Ort= 0.9999964267624
    Energy(L= 30,ML= 0)=   -3.1243953405         3.1243357915        -6.2487311319 Int_Ort= 0.9999972152595
    Energy(L= 31,ML= 0)=   -3.1244818347         3.1244321644        -6.2489139992 Int_Ort= 0.9999978224280
    Energy(L= 32,ML= 0)=   -3.1245539426         3.1245122919        -6.2490662345 Int_Ort= 0.9999982938141
    Energy(L= 33,ML= 0)=   -3.1246143723         3.1245792698        -6.2491936422 Int_Ort= 0.9999986626165
    Energy(L= 34,ML= 0)=   -3.1246652667         3.1246355403        -6.2493008070 Int_Ort= 0.9999989532650
    Energy(L= 35,ML= 0)=   -3.1247083318         3.1246830426        -6.2493913744 Int_Ort= 0.9999991838988
    Energy(L= 36,ML= 0)=   -3.1247449346         3.1247233263        -6.2494682609 Int_Ort= 0.9999993681019
    Energy(L= 37,ML= 0)=   -3.1247761765         3.1247576366        -6.2495338132 Int_Ort= 0.9999995161280
    Energy(L= 38,ML= 0)=   -3.1248029501         3.1247869797        -6.2495899298 Int_Ort= 0.9999996357764
    Energy(L= 39,ML= 0)=   -3.1248259823         3.1248121729        -6.2496381552 Int_Ort= 0.9999997330226
    Energy(L= 40,ML= 0)=   -3.1248458683         3.1248338840        -6.2496797523 Int_Ort= 0.9999998124767
    Energy(L= 41,ML= 0)=   -3.1248630976         3.1248526607        -6.2497157582 Int_Ort= 0.9999998777183
    Energy(L= 42,ML= 0)=   -3.1248780746         3.1248689546        -6.2497470292 Int_Ort= 0.9999999315444
    Energy(L= 43,ML= 0)=   -3.1248911352         3.1248831397        -6.2497742750 Int_Ort= 0.9999999761535
    Energy(L= 44,ML= 0)=   -3.1249025592         3.1248955273        -6.2497980864 Int_Ort= 1.0000000132835
    Energy(L= 45,ML= 0)=   -3.1249125806         3.1249063769        -6.2498189575 Int_Ort= 1.0000000443160
    Energy(L= 46,ML= 0)=   -3.1249213961         3.1249159066        -6.2498373027 Int_Ort= 1.0000000703547
    Energy(L= 47,ML= 0)=   -3.1249291716         3.1249242996        -6.2498534713 Int_Ort= 1.0000000922856
    Energy(L= 48,ML= 0)=   -3.1249360473         3.1249317109        -6.2498677583 Int_Ort= 1.0000001108236
    Energy(L= 49,ML= 0)=   -3.1249421423         3.1249382717        -6.2498804141 Int_Ort= 1.0000001265481
    Energy(L= 50,ML= 0)=   -3.1249475580         3.1249440937        -6.2498916517 Int_Ort= 1.0000001399307
    Energy(L= 51,ML= 0)=   -3.1249523811         3.1249492720        -6.2499016531 Int_Ort= 1.0000001513566
    Energy(L= 52,ML= 0)=   -3.1249566858         3.1249538882        -6.2499105740 Int_Ort= 1.0000001611422
    Energy(L= 53,ML= 0)=   -3.1249605359         3.1249580121        -6.2499185481 Int_Ort= 1.0000001695478
    Energy(L= 54,ML= 0)=   -3.1249639865         3.1249617039        -6.2499256905 Int_Ort= 1.0000001767885
    Energy(L= 55,ML= 0)=   -3.1249670851         3.1249650154        -6.2499321005 Int_Ort= 1.0000001830430
    Energy(L= 56,ML= 0)=   -3.1249698728         3.1249679916        -6.2499378644 Int_Ort= 1.0000001884599
    Energy(L= 57,ML= 0)=   -3.1249723854         3.1249706713        -6.2499430567 Int_Ort= 1.0000001931633
    Energy(L= 58,ML= 0)=   -3.1249746540         3.1249730885        -6.2499477425 Int_Ort= 1.0000001972574
    Energy(L= 59,ML= 0)=   -3.1249767059         3.1249752727        -6.2499519786 Int_Ort= 1.0000002008296
    Energy(L= 60,ML= 0)=   -3.1249785648         3.1249772496        -6.2499558145 Int_Ort= 1.0000002039536
    Energy(L= 61,ML= 0)=   -3.1249802516         3.1249790419        -6.2499592935 Int_Ort= 1.0000002066916
    Energy(L= 62,ML= 0)=   -3.1249817845         3.1249806694        -6.2499624539 Int_Ort= 1.0000002090967
    Energy(L= 63,ML= 0)=   -3.1249831797         3.1249821494        -6.2499653291 Int_Ort= 1.0000002112137
