        Distance           1s              1s              2p              2p              2p              2p
      0.259327E-04    0.579799E-03    0.579805E-03    0.767340E-08    0.767345E-08    0.767340E-08    0.767345E-08
      0.269911E-04    0.603457E-03    0.603464E-03    0.831248E-08    0.831252E-08    0.831248E-08    0.831252E-08
      0.280926E-04    0.628081E-03    0.628088E-03    0.900477E-08    0.900482E-08    0.900477E-08    0.900482E-08
      0.292391E-04    0.653710E-03    0.653717E-03    0.975472E-08    0.975477E-08    0.975472E-08    0.975477E-08
      0.304323E-04    0.680384E-03    0.680391E-03    0.105671E-07    0.105672E-07    0.105671E-07    0.105672E-07
      0.316743E-04    0.708147E-03    0.708154E-03    0.114472E-07    0.114473E-07    0.114472E-07    0.114473E-07
      0.329669E-04    0.737042E-03    0.737050E-03    0.124005E-07    0.124006E-07    0.124005E-07    0.124006E-07
      0.343123E-04    0.767116E-03    0.767124E-03    0.134333E-07    0.134334E-07    0.134333E-07    0.134334E-07
      0.357126E-04    0.798416E-03    0.798425E-03    0.145521E-07    0.145521E-07    0.145521E-07    0.145521E-07
      0.371701E-04    0.830994E-03    0.831003E-03    0.157640E-07    0.157641E-07    0.157640E-07    0.157641E-07
      0.386870E-04    0.864901E-03    0.864910E-03    0.170769E-07    0.170770E-07    0.170769E-07    0.170770E-07
      0.402659E-04    0.900191E-03    0.900200E-03    0.184991E-07    0.184992E-07    0.184991E-07    0.184992E-07
      0.419091E-04    0.936921E-03    0.936930E-03    0.200397E-07    0.200398E-07    0.200397E-07    0.200398E-07
      0.436195E-04    0.975148E-03    0.975159E-03    0.217086E-07    0.217088E-07    0.217086E-07    0.217088E-07
      0.453996E-04    0.101494E-02    0.101495E-02    0.235166E-07    0.235167E-07    0.235166E-07    0.235167E-07
      0.472524E-04    0.105635E-02    0.105636E-02    0.254751E-07    0.254752E-07    0.254751E-07    0.254752E-07
      0.491808E-04    0.109945E-02    0.109946E-02    0.275967E-07    0.275968E-07    0.275967E-07    0.275968E-07
      0.511879E-04    0.114430E-02    0.114431E-02    0.298949E-07    0.298951E-07    0.298949E-07    0.298951E-07
      0.532769E-04    0.119099E-02    0.119100E-02    0.323846E-07    0.323848E-07    0.323846E-07    0.323848E-07
      0.554511E-04    0.123958E-02    0.123959E-02    0.350816E-07    0.350818E-07    0.350816E-07    0.350818E-07
      0.577141E-04    0.129015E-02    0.129017E-02    0.380032E-07    0.380034E-07    0.380032E-07    0.380034E-07
      0.600694E-04    0.134279E-02    0.134280E-02    0.411681E-07    0.411683E-07    0.411681E-07    0.411683E-07
      0.625209E-04    0.139757E-02    0.139759E-02    0.445966E-07    0.445968E-07    0.445966E-07    0.445968E-07
      0.650724E-04    0.145459E-02    0.145460E-02    0.483106E-07    0.483108E-07    0.483106E-07    0.483108E-07
      0.677280E-04    0.151393E-02    0.151395E-02    0.523338E-07    0.523341E-07    0.523338E-07    0.523341E-07
      0.704920E-04    0.157569E-02    0.157571E-02    0.566921E-07    0.566924E-07    0.566921E-07    0.566924E-07
      0.733688E-04    0.163997E-02    0.163999E-02    0.614133E-07    0.614137E-07    0.614133E-07    0.614137E-07
      0.763630E-04    0.170688E-02    0.170689E-02    0.665277E-07    0.665281E-07    0.665277E-07    0.665281E-07
