
            r               1s              2s              2p
        2.0709196   0.1256565E-03  -0.2817380E+00   0.3679259E+00
        2.1170678   0.4309933E-04  -0.2645890E+00   0.3525371E+00
        2.1629526  -0.5859741E-04  -0.2484651E+00   0.3377708E+00
        2.2084154  -0.1875750E-03  -0.2333644E+00   0.3236564E+00
        2.2532795  -0.3541860E-03  -0.2192801E+00   0.3102212E+00
        2.2973513  -0.5713268E-03  -0.2062009E+00   0.2974899E+00
        2.3404225  -0.8546053E-03  -0.1941111E+00   0.2854841E+00
        2.3822745  -0.1222210E-02  -0.1829899E+00   0.2742213E+00
        2.4226856  -0.1694339E-02  -0.1728114E+00   0.2637142E+00
        2.4614398  -0.2292089E-02  -0.1635444E+00   0.2539688E+00
        2.4983385  -0.3035792E-02  -0.1551512E+00   0.2449838E+00
        2.5332119  -0.3942964E-02  -0.1475883E+00   0.2367489E+00
        2.5659308  -0.5026184E-02  -0.1408062E+00   0.2292443E+00
        2.5964146  -0.6291361E-02  -0.1347501E+00   0.2224411E+00
        2.6246357  -0.7736776E-02  -0.1293612E+00   0.2163016E+00
        2.6506184  -0.9353160E-02  -0.1245786E+00   0.2107812E+00
        2.6744336  -0.1112476E-01  -0.1203408E+00   0.2058305E+00
        2.6961895  -0.1303110E-01  -0.1165878E+00   0.2013975E+00
        2.7160212  -0.1504910E-01  -0.1132626E+00   0.1974299E+00
        2.7340798  -0.1715498E-01  -0.1103123E+00   0.1938770E+00
        2.7505231  -0.1932597E-01  -0.1076886E+00   0.1906909E+00
        2.7655079  -0.2154139E-01  -0.1053488E+00   0.1878275E+00
        2.7791851  -0.2378329E-01  -0.1032548E+00   0.1852469E+00
        2.7916955  -0.2603678E-01  -0.1013738E+00   0.1829139E+00
        2.8031685  -0.2828990E-01  -0.9967700E-01   0.1807969E+00
        2.8137213  -0.3053345E-01  -0.9813988E-01   0.1788688E+00
        2.8234586  -0.3276068E-01  -0.9674128E-01   0.1771057E+00
        2.8324737  -0.3496690E-01  -0.9546311E-01   0.1754870E+00
        2.8408492  -0.3714917E-01  -0.9428984E-01   0.1739947E+00
        2.8486578  -0.3930597E-01  -0.9320817E-01   0.1726135E+00
        2.8559636  -0.4143692E-01  -0.9220669E-01   0.1713298E+00
        2.8628233  -0.4354257E-01  -0.9127557E-01   0.1701322E+00
        2.8692865  -0.4562418E-01  -0.9040633E-01   0.1690105E+00
        2.8753974  -0.4768357E-01  -0.8959163E-01   0.1679560E+00
        2.8811946  -0.4972302E-01  -0.8882510E-01   0.1669608E+00
        2.8867128  -0.5174516E-01  -0.8810118E-01   0.1660184E+00
        2.8919827  -0.5375290E-01  -0.8741500E-01   0.1651227E+00
