        Distance           1s              1s              2p              2p              2p              2p
      0.304323E-04    0.634031E-03    0.634028E-03    0.303516E-08    0.303593E-08    0.303516E-08    0.303593E-08
      0.316743E-04    0.659903E-03    0.659899E-03    0.328794E-08    0.328877E-08    0.328794E-08    0.328877E-08
      0.329669E-04    0.686829E-03    0.686826E-03    0.356177E-08    0.356267E-08    0.356177E-08    0.356267E-08
      0.343123E-04    0.714854E-03    0.714851E-03    0.385841E-08    0.385938E-08    0.385841E-08    0.385938E-08
      0.357126E-04    0.744023E-03    0.744019E-03    0.417975E-08    0.418080E-08    0.417975E-08    0.418080E-08
      0.371701E-04    0.774381E-03    0.774377E-03    0.452785E-08    0.452899E-08    0.452785E-08    0.452899E-08
      0.386870E-04    0.805978E-03    0.805974E-03    0.490494E-08    0.490617E-08    0.490494E-08    0.490617E-08
      0.402659E-04    0.838863E-03    0.838859E-03    0.531343E-08    0.531477E-08    0.531343E-08    0.531477E-08
      0.419091E-04    0.873091E-03    0.873087E-03    0.575594E-08    0.575739E-08    0.575594E-08    0.575739E-08
      0.436195E-04    0.908714E-03    0.908710E-03    0.623531E-08    0.623688E-08    0.623531E-08    0.623688E-08
      0.453996E-04    0.945791E-03    0.945786E-03    0.675459E-08    0.675630E-08    0.675459E-08    0.675630E-08
      0.472524E-04    0.984380E-03    0.984375E-03    0.731713E-08    0.731897E-08    0.731713E-08    0.731897E-08
      0.491808E-04    0.102454E-02    0.102454E-02    0.792651E-08    0.792850E-08    0.792651E-08    0.792850E-08
      0.511879E-04    0.106634E-02    0.106634E-02    0.858663E-08    0.858879E-08    0.858663E-08    0.858879E-08
      0.532769E-04    0.110985E-02    0.110985E-02    0.930173E-08    0.930408E-08    0.930173E-08    0.930408E-08
      0.554511E-04    0.115513E-02    0.115513E-02    0.100764E-07    0.100789E-07    0.100764E-07    0.100789E-07
      0.577141E-04    0.120226E-02    0.120225E-02    0.109155E-07    0.109183E-07    0.109155E-07    0.109183E-07
      0.600694E-04    0.125131E-02    0.125130E-02    0.118246E-07    0.118276E-07    0.118246E-07    0.118276E-07
      0.625209E-04    0.130236E-02    0.130235E-02    0.128093E-07    0.128126E-07    0.128093E-07    0.128126E-07
      0.650724E-04    0.135549E-02    0.135549E-02    0.138761E-07    0.138796E-07    0.138761E-07    0.138796E-07
      0.677280E-04    0.141079E-02    0.141078E-02    0.150317E-07    0.150355E-07    0.150317E-07    0.150355E-07
      0.704920E-04    0.146835E-02    0.146834E-02    0.162835E-07    0.162876E-07    0.162835E-07    0.162876E-07
      0.733688E-04    0.152825E-02    0.152824E-02    0.176396E-07    0.176440E-07    0.176396E-07    0.176440E-07
      0.763630E-04    0.159059E-02    0.159058E-02    0.191085E-07    0.191134E-07    0.191085E-07    0.191134E-07
      0.794794E-04    0.165548E-02    0.165547E-02    0.206999E-07    0.207051E-07    0.206999E-07    0.207051E-07
      0.827230E-04    0.172301E-02    0.172300E-02    0.224237E-07    0.224293E-07    0.224237E-07    0.224293E-07
      0.860989E-04    0.179330E-02    0.179329E-02    0.242911E-07    0.242972E-07    0.242911E-07    0.242972E-07
      0.896126E-04    0.186645E-02    0.186644E-02    0.263139E-07    0.263205E-07    0.263139E-07    0.263205E-07
      0.932698E-04    0.194258E-02    0.194258E-02    0.285052E-07    0.285124E-07    0.285052E-07    0.285124E-07
      0.970761E-04    0.202182E-02    0.202181E-02    0.308790E-07    0.308868E-07    0.308790E-07    0.308868E-07
      0.101038E-03    0.210429E-02    0.210428E-02    0.334505E-07    0.334589E-07    0.334505E-07    0.334589E-07
      0.105161E-03    0.219012E-02    0.219011E-02    0.362361E-07    0.362452E-07    0.362361E-07    0.362452E-07
      0.109453E-03    0.227945E-02    0.227944E-02    0.392536E-07    0.392634E-07    0.392536E-07    0.392634E-07
      0.113920E-03    0.237243E-02    0.237241E-02    0.425224E-07    0.425330E-07    0.425224E-07    0.425330E-07
      0.118569E-03    0.246919E-02    0.246918E-02    0.460633E-07    0.460749E-07    0.460633E-07    0.460749E-07
      0.123407E-03    0.256989E-02    0.256988E-02    0.498991E-07    0.499116E-07    0.498991E-07    0.499116E-07
      0.128444E-03    0.267470E-02    0.267469E-02    0.540543E-07    0.540679E-07    0.540543E-07    0.540679E-07
      0.133685E-03    0.278378E-02    0.278377E-02    0.585555E-07    0.585701E-07    0.585555E-07    0.585701E-07
      0.139141E-03    0.289731E-02    0.289730E-02    0.634314E-07    0.634473E-07    0.634314E-07    0.634473E-07
      0.144819E-03    0.301546E-02    0.301545E-02    0.687133E-07    0.687305E-07    0.687133E-07    0.687305E-07
      0.150729E-03    0.313843E-02    0.313842E-02    0.744350E-07    0.744537E-07    0.744350E-07    0.744537E-07
      0.156881E-03    0.326641E-02    0.326639E-02    0.806331E-07    0.806533E-07    0.806331E-07    0.806533E-07
      0.163283E-03    0.339960E-02    0.339959E-02    0.873472E-07    0.873691E-07    0.873472E-07    0.873691E-07
      0.169947E-03    0.353822E-02    0.353820E-02    0.946203E-07    0.946440E-07    0.946203E-07    0.946440E-07
      0.176882E-03    0.368249E-02    0.368247E-02    0.102499E-06    0.102525E-06    0.102499E-06    0.102525E-06
      0.184100E-03    0.383263E-02    0.383261E-02    0.111034E-06    0.111061E-06    0.111034E-06    0.111061E-06
      0.191614E-03    0.398889E-02    0.398887E-02    0.120279E-06    0.120309E-06    0.120279E-06    0.120309E-06
      0.199433E-03    0.415151E-02    0.415149E-02    0.130293E-06    0.130326E-06    0.130293E-06    0.130326E-06
      0.207572E-03    0.432075E-02    0.432073E-02    0.141142E-06    0.141177E-06    0.141142E-06    0.141177E-06
