
            r               1s              2p
        0.0011014   0.1016747E-01   0.5160999E-06
        0.0011458   0.1057624E-01   0.5585440E-06
        0.0011921   0.1100119E-01   0.6044554E-06
        0.0012401   0.1144294E-01   0.6541145E-06
        0.0012901   0.1190212E-01   0.7078239E-06
        0.0013420   0.1237941E-01   0.7659103E-06
        0.0013960   0.1287549E-01   0.8287262E-06
        0.0014521   0.1339107E-01   0.8966523E-06
        0.0015105   0.1392690E-01   0.9700989E-06
        0.0015712   0.1448372E-01   0.1049509E-05
        0.0016343   0.1506233E-01   0.1135360E-05
        0.0016998   0.1566355E-01   0.1228168E-05
        0.0017680   0.1628821E-01   0.1328487E-05
        0.0018388   0.1693719E-01   0.1436916E-05
        0.0019124   0.1761138E-01   0.1554102E-05
        0.0019889   0.1831171E-01   0.1680738E-05
        0.0020684   0.1903915E-01   0.1817576E-05
        0.0021511   0.1979467E-01   0.1965421E-05
        0.0022369   0.2057930E-01   0.2125143E-05
        0.0023261   0.2139410E-01   0.2297678E-05
        0.0024188   0.2224015E-01   0.2484033E-05
        0.0025150   0.2311856E-01   0.2685293E-05
        0.0026150   0.2403049E-01   0.2902623E-05
        0.0027189   0.2497712E-01   0.3137280E-05
        0.0028267   0.2595968E-01   0.3390611E-05
        0.0029388   0.2697943E-01   0.3664068E-05
        0.0030551   0.2803765E-01   0.3959210E-05
        0.0031759   0.2913567E-01   0.4277711E-05
        0.0033013   0.3027486E-01   0.4621371E-05
        0.0034315   0.3145662E-01   0.4992120E-05
        0.0035667   0.3268239E-01   0.5392034E-05
        0.0037070   0.3395364E-01   0.5823337E-05
        0.0038526   0.3527189E-01   0.6288414E-05
        0.0040037   0.3663869E-01   0.6789827E-05
        0.0041604   0.3805562E-01   0.7330316E-05
        0.0043231   0.3952430E-01   0.7912823E-05
        0.0044919   0.4104641E-01   0.8540493E-05
        0.0046669   0.4262362E-01   0.9216698E-05
        0.0048485   0.4425768E-01   0.9945044E-05
        0.0050368   0.4595036E-01   0.1072939E-04
        0.0052320   0.4770345E-01   0.1157386E-04
        0.0054344   0.4951878E-01   0.1248285E-04
        0.0056442   0.5139824E-01   0.1346109E-04
        0.0058616   0.5334371E-01   0.1451360E-04
        0.0060870   0.5535713E-01   0.1564574E-04
        0.0063205   0.5744046E-01   0.1686323E-04
        0.0065624   0.5959568E-01   0.1817218E-04
        0.0068130   0.6182480E-01   0.1957909E-04
        0.0070725   0.6412987E-01   0.2109088E-04
        0.0073412   0.6651293E-01   0.2271491E-04
        0.0076194   0.6897607E-01   0.2445902E-04
        0.0079074   0.7152137E-01   0.2633155E-04
        0.0082054   0.7415095E-01   0.2834134E-04
        0.0085138   0.7686694E-01   0.3049779E-04
        0.0088329   0.7967145E-01   0.3281088E-04
        0.0091629   0.8256663E-01   0.3529117E-04
        0.0095042   0.8555462E-01   0.3794988E-04
        0.0098571   0.8863755E-01   0.4079888E-04
        0.0102219   0.9181757E-01   0.4385072E-04
        0.0105989   0.9509679E-01   0.4711869E-04
        0.0109885   0.9847736E-01   0.5061684E-04
        0.0113910   0.1019614E+00   0.5435999E-04
        0.0118067   0.1055509E+00   0.5836380E-04
        0.0122359   0.1092480E+00   0.6264478E-04
        0.0126791   0.1130547E+00   0.6722034E-04
        0.0131365   0.1169731E+00   0.7210879E-04
        0.0136085   0.1210050E+00   0.7732945E-04
        0.0140954   0.1251525E+00   0.8290259E-04
        0.0145977   0.1294175E+00   0.8884954E-04
        0.0151156   0.1338017E+00   0.9519270E-04
        0.0156495   0.1383070E+00   0.1019556E-03
        0.0161998   0.1429351E+00   0.1091628E-03
        0.0167669   0.1476877E+00   0.1168403E-03
        0.0173510   0.1525665E+00   0.1250151E-03
        0.0179526   0.1575730E+00   0.1337155E-03
        0.0185721   0.1627086E+00   0.1429712E-03
        0.0192098   0.1679749E+00   0.1528131E-03
        0.0198660   0.1733731E+00   0.1632736E-03
        0.0205412   0.1789046E+00   0.1743866E-03
        0.0212358   0.1845705E+00   0.1861874E-03
        0.0219500   0.1903720E+00   0.1987126E-03
        0.0226843   0.1963101E+00   0.2120008E-03
        0.0234392   0.2023858E+00   0.2260918E-03
        0.0242148   0.2086000E+00   0.2410275E-03
        0.0250117   0.2149534E+00   0.2568510E-03
        0.0258303   0.2214468E+00   0.2736076E-03
        0.0266709   0.2280808E+00   0.2913443E-03
        0.0275339   0.2348560E+00   0.3101099E-03
        0.0284198   0.2417728E+00   0.3299552E-03
        0.0293289   0.2488317E+00   0.3509332E-03
        0.0302617   0.2560329E+00   0.3730988E-03
        0.0312185   0.2633769E+00   0.3965091E-03
        0.0321999   0.2708636E+00   0.4212236E-03
        0.0332063   0.2784932E+00   0.4473041E-03
        0.0342381   0.2862658E+00   0.4748146E-03
        0.0352957   0.2941814E+00   0.5038222E-03
        0.0363797   0.3022399E+00   0.5343961E-03
        0.0374906   0.3104411E+00   0.5666088E-03
        0.0386287   0.3187849E+00   0.6005353E-03
        0.0397948   0.3272711E+00   0.6362539E-03
        0.0409892   0.3358993E+00   0.6738460E-03
        0.0422125   0.3446693E+00   0.7133967E-03
        0.0434654   0.3535806E+00   0.7549942E-03
        0.0447483   0.3626329E+00   0.7987307E-03
        0.0460620   0.3718258E+00   0.8447024E-03
        0.0474071   0.3811588E+00   0.8930094E-03
        0.0487841   0.3906313E+00   0.9437566E-03
        0.0501939   0.4002430E+00   0.9970532E-03
        0.0516371   0.4099931E+00   0.1053013E-02
        0.0531145   0.4198812E+00   0.1111757E-02
        0.0546270   0.4299066E+00   0.1173408E-02
        0.0561752   0.4400687E+00   0.1238098E-02
        0.0577601   0.4503668E+00   0.1305965E-02
        0.0593827   0.4608003E+00   0.1377150E-02
        0.0610438   0.4713683E+00   0.1451805E-02
        0.0627444   0.4820702E+00   0.1530087E-02
        0.0644856   0.4929050E+00   0.1612163E-02
        0.0662685   0.5038720E+00   0.1698206E-02
        0.0680943   0.5149701E+00   0.1788398E-02
        0.0699640   0.5261985E+00   0.1882931E-02
        0.0718791   0.5375560E+00   0.1982008E-02
        0.0738407   0.5490414E+00   0.2085840E-02
        0.0758504   0.5606535E+00   0.2194650E-02
        0.0779095   0.5723910E+00   0.2308675E-02
        0.0800195   0.5842524E+00   0.2428160E-02
        0.0821821   0.5962359E+00   0.2553368E-02
        0.0843989   0.6083399E+00   0.2684571E-02
        0.0866717   0.6205624E+00   0.2822061E-02
        0.0890023   0.6329012E+00   0.2966142E-02
        0.0913926   0.6453540E+00   0.3117136E-02
        0.0938446   0.6579180E+00   0.3275382E-02
        0.0963604   0.6705905E+00   0.3441238E-02
        0.0989423   0.6833682E+00   0.3615081E-02
        0.1015924   0.6962477E+00   0.3797311E-02
        0.1043133   0.7092250E+00   0.3988346E-02
        0.1071074   0.7222960E+00   0.4188632E-02
        0.1099773   0.7354559E+00   0.4398636E-02
        0.1129259   0.7486997E+00   0.4618851E-02
        0.1159559   0.7620216E+00   0.4849801E-02
        0.1190704   0.7754157E+00   0.5092033E-02
        0.1222725   0.7888750E+00   0.5346130E-02
        0.1255654   0.8023923E+00   0.5612704E-02
        0.1289527   0.8159596E+00   0.5892401E-02
        0.1324378   0.8295681E+00   0.6185904E-02
        0.1360245   0.8432083E+00   0.6493930E-02
        0.1397166   0.8568699E+00   0.6817239E-02
        0.1435182   0.8705418E+00   0.7156631E-02
        0.1474335   0.8842119E+00   0.7512948E-02
        0.1514669   0.8978671E+00   0.7887079E-02
        0.1556230   0.9114934E+00   0.8279959E-02
        0.1599065   0.9250756E+00   0.8692575E-02
        0.1643224   0.9385976E+00   0.9125963E-02
        0.1688759   0.9520418E+00   0.9581217E-02
        0.1735723   0.9653897E+00   0.1005949E-01
        0.1784173   0.9786214E+00   0.1056198E-01
        0.1834167   0.9917157E+00   0.1108996E-01
        0.1885765   0.1004650E+01   0.1164477E-01
        0.1939031   0.1017400E+01   0.1222781E-01
        0.1994029   0.1029941E+01   0.1284055E-01
        0.2050827   0.1042246E+01   0.1348452E-01
        0.2109497   0.1054287E+01   0.1416136E-01
        0.2170111   0.1066033E+01   0.1487275E-01
        0.2232745   0.1077454E+01   0.1562046E-01
        0.2297478   0.1088518E+01   0.1640636E-01
        0.2364392   0.1099189E+01   0.1723238E-01
        0.2433571   0.1109432E+01   0.1810054E-01
        0.2505104   0.1119212E+01   0.1901297E-01
        0.2579080   0.1128488E+01   0.1997187E-01
        0.2655595   0.1137223E+01   0.2097954E-01
        0.2734746   0.1145376E+01   0.2203837E-01
        0.2816633   0.1152904E+01   0.2315086E-01
        0.2901361   0.1159766E+01   0.2431959E-01
        0.2989037   0.1165920E+01   0.2554726E-01
        0.3079773   0.1171320E+01   0.2683666E-01
        0.3173684   0.1175923E+01   0.2819067E-01
        0.3270888   0.1179686E+01   0.2961229E-01
        0.3371508   0.1182564E+01   0.3110462E-01
        0.3475670   0.1184515E+01   0.3267085E-01
        0.3583504   0.1185494E+01   0.3431429E-01
        0.3695146   0.1185461E+01   0.3603834E-01
        0.3810731   0.1184374E+01   0.3784649E-01
        0.3930404   0.1182196E+01   0.3974235E-01
        0.4054311   0.1178890E+01   0.4172961E-01
        0.4182601   0.1174421E+01   0.4381207E-01
        0.4315430   0.1168758E+01   0.4599360E-01
        0.4452957   0.1161873E+01   0.4827817E-01
        0.4595344   0.1153741E+01   0.5066982E-01
        0.4742760   0.1144343E+01   0.5317269E-01
        0.4895376   0.1133661E+01   0.5579097E-01
        0.5053368   0.1121685E+01   0.5852891E-01
        0.5216916   0.1108410E+01   0.6139083E-01
        0.5386205   0.1093835E+01   0.6438108E-01
        0.5561424   0.1077965E+01   0.6750406E-01
        0.5742766   0.1060814E+01   0.7076417E-01
        0.5930427   0.1042399E+01   0.7416585E-01
        0.6124609   0.1022747E+01   0.7771351E-01
        0.6325518   0.1001889E+01   0.8141152E-01
        0.6533363   0.9798646E+00   0.8526425E-01
        0.6748357   0.9567212E+00   0.8927595E-01
        0.6970717   0.9325121E+00   0.9345083E-01
        0.7200664   0.9072982E+00   0.9779293E-01
        0.7438422   0.8811470E+00   0.1023062E+00
        0.7684219   0.8541329E+00   0.1069943E+00
        0.7938287   0.8263362E+00   0.1118608E+00
        0.8200858   0.7978436E+00   0.1169089E+00
        0.8472171   0.7687466E+00   0.1221415E+00
        0.8752466   0.7391420E+00   0.1275613E+00
        0.9041984   0.7091304E+00   0.1331704E+00
        0.9340971   0.6788159E+00   0.1389705E+00
        0.9649674   0.6483052E+00   0.1449629E+00
        0.9968341   0.6177066E+00   0.1511481E+00
        1.0297223   0.5871295E+00   0.1575261E+00
        1.0636571   0.5566827E+00   0.1640962E+00
        1.0986639   0.5264743E+00   0.1708568E+00
        1.1347679   0.4966100E+00   0.1778057E+00
        1.1719945   0.4671926E+00   0.1849394E+00
        1.2103692   0.4383206E+00   0.1922538E+00
        1.2499173   0.4100877E+00   0.1997434E+00
        1.2906641   0.3825817E+00   0.2074019E+00
        1.3326348   0.3558835E+00   0.2152216E+00
        1.3758545   0.3300668E+00   0.2231935E+00
        1.4203481   0.3051973E+00   0.2313077E+00
        1.4661403   0.2813319E+00   0.2395525E+00
        1.5132556   0.2585188E+00   0.2479151E+00
        1.5617181   0.2367969E+00   0.2563811E+00
        1.6115518   0.2161958E+00   0.2649351E+00
        1.6627801   0.1967355E+00   0.2735598E+00
        1.7154260   0.1784270E+00   0.2822367E+00
        1.7695124   0.1612724E+00   0.2909462E+00
        1.8250613   0.1452649E+00   0.2996669E+00
        1.8820945   0.1303899E+00   0.3083764E+00
        1.9406332   0.1166252E+00   0.3170512E+00
        2.0006978   0.1039416E+00   0.3256664E+00
        2.0623083   0.9230407E-01   0.3341963E+00
        2.1254840   0.8167214E-01   0.3426144E+00
        2.1902437   0.7200089E-01   0.3508931E+00
        2.2566051   0.6324180E-01   0.3590045E+00
        2.3245855   0.5534354E-01   0.3669201E+00
        2.3942013   0.4825284E-01   0.3746114E+00
        2.4654682   0.4191527E-01   0.3820494E+00
        2.5384010   0.3627594E-01   0.3892054E+00
        2.6130137   0.3128024E-01   0.3960511E+00
        2.6893195   0.2687442E-01   0.4025586E+00
        2.7673307   0.2300614E-01   0.4087007E+00
        2.8470587   0.1962496E-01   0.4144510E+00
        2.9285140   0.1668268E-01   0.4197845E+00
        3.0117065   0.1413366E-01   0.4246771E+00
        3.0966446   0.1193508E-01   0.4291065E+00
        3.1833364   0.1004705E-01   0.4330520E+00
        3.2717888   0.8432741E-02   0.4364947E+00
        3.3620077   0.7058369E-02   0.4394177E+00
        3.4539983   0.5893202E-02   0.4418063E+00
        3.5477649   0.4909473E-02   0.4436479E+00
        3.6433107   0.4082271E-02   0.4449324E+00
        3.7406381   0.3389405E-02   0.4456522E+00
        3.8397488   0.2811234E-02   0.4458020E+00
        3.9406434   0.2330494E-02   0.4453793E+00
        4.0433217   0.1932107E-02   0.4443841E+00
        4.1477828   0.1602985E-02   0.4428189E+00
        4.2540248   0.1331842E-02   0.4406888E+00
        4.3620451   0.1109003E-02   0.4380015E+00
        4.4718403   0.9262263E-03   0.4347671E+00
        4.5834063   0.7765298E-03   0.4309979E+00
        4.6967382   0.6540345E-03   0.4267089E+00
        4.8118303   0.5538180E-03   0.4219167E+00
        4.9286763   0.4717814E-03   0.4166405E+00
        5.0472694   0.4045305E-03   0.4109008E+00
        5.1676017   0.3492691E-03   0.4047201E+00
        5.2896653   0.3037055E-03   0.3981226E+00
        5.4134511   0.2659709E-03   0.3911334E+00
        5.5389498   0.2345486E-03   0.3837792E+00
        5.6661516   0.2082128E-03   0.3760874E+00
        5.7950459   0.1859776E-03   0.3680863E+00
        5.9256219   0.1670528E-03   0.3598047E+00
        6.0578681   0.1508071E-03   0.3512720E+00
        6.1917728   0.1367381E-03   0.3425177E+00
        6.3273237   0.1244467E-03   0.3335712E+00
        6.4645083   0.1136163E-03   0.3244620E+00
        6.6033135   0.1039963E-03   0.3152191E+00
        6.7437262   0.9538814E-04   0.3058710E+00
        6.8857326   0.8763420E-04   0.2964459E+00
        7.0293190   0.8060921E-04   0.2869710E+00
        7.1744712   0.7421310E-04   0.2774726E+00
        7.3211747   0.6836545E-04   0.2679761E+00
        7.4694151   0.6300118E-04   0.2585058E+00
        7.6191776   0.5806708E-04   0.2490848E+00
